,bat,runs,balls,dismissals,avg,rpo
343,Murali Vijay,13,13,,,6.0
119,Darron Reekers,12,8,,,9.0
411,Roger Telemachus,12,6,1.0,12.0,12.0
394,Rassie van der Dussen,12,14,,,5.14
66,Babar Azam,12,10,1.0,12.0,7.2
89,Chad Bowes,12,5,,,14.4
93,Charith Asalanka,12,12,1.0,12.0,6.0
536,Ziaur Rahman,12,9,,,8.0
143,Don Maxwell,12,12,1.0,12.0,6.0
61,Avishka Gunawardene,12,6,,,12.0
474,Steven Davies,12,6,,,12.0
531,Yusuf Pathan,11,10,1.0,11.0,6.6
127,Dean Brownlie,11,4,,,16.5
366,Owais Shah,11,7,,,9.43
14,Adrian Barath,11,10,,,6.6
225,Jerome Taylor,11,9,,,7.33
228,Joe Burns,11,6,,,11.0
173,Gyanendra Malla,11,5,1.0,11.0,13.2
532,Yuvraj Singh,11,6,1.0,11.0,11.0
290,Manoj Tiwary,11,7,1.0,11.0,9.43
410,Roelof van der Merwe,11,10,1.0,11.0,6.6
178,Harbhajan Singh,11,13,1.0,11.0,5.08
273,Leon Johnson,10,11,,,5.45
232,John Campbell,10,10,1.0,10.0,6.0
235,Jonathan Carter,10,10,,,6.0
490,Tanzid Hasan,10,6,1.0,10.0,10.0
48,Arshad Ali,10,15,1.0,10.0,4.0
29,Amjad Javed,10,3,,,20.0
449,Shamarh Brooks,10,14,,,4.29
464,Sikandar Raza,10,6,,,10.0
482,Sunil Dhaniram,10,6,1.0,10.0,10.0
106,Collins Obuya,10,13,,,4.62
12,Adil Rashid,10,5,,,12.0
402,Richie Berrington,10,20,1.0,10.0,3.0
326,Mohammad Kaif,10,10,,,6.0
318,Mirwais Ashraf,10,9,1.0,10.0,6.67
113,Curtis Campher,9,11,,,4.91
499,Tom Banton,9,5,,,10.8
120,David Hemp,9,10,1.0,9.0,5.4
442,Shabir Noori,9,7,,,7.71
195,Innocent Kaia,9,6,,,9.0
398,Reeza Hendricks,9,10,1.0,9.0,5.4
367,Pargat Singh,9,5,,,10.8
128,Dean Elgar,9,4,,,13.5
198,Irving Romaine,9,12,1.0,9.0,4.5
303,Matthew Short,9,5,,,10.8
440,Sese Bau,9,5,1.0,9.0,10.8
82,Brett Lee,9,7,,,7.71
50,Aryansh Sharma,9,8,,,6.75
470,Stephan Baard,9,4,,,13.5
107,Con de Lange,9,10,,,5.4
253,Khawar Ali,9,5,,,10.8
492,Terry Duffin,9,4,,,13.5
