,bat,runs,balls,dismissals,avg,rpo
207,Farveez Maharoof,29,16,1.0,29.0,10.88
332,Joylord Gumbie,29,26,1.0,29.0,6.69
619,Shaheen Shah Afridi,29,16,3.0,9.67,10.88
443,Minod Bhanuka,28,19,,,8.84
597,Sam Hain,28,23,1.0,28.0,7.3
117,Chad Soper,28,23,1.0,28.0,7.3
27,Akila Dananjaya,28,28,1.0,28.0,6.0
214,Gareth Delany,28,21,1.0,28.0,8.0
46,Andre Botha,27,32,2.0,13.5,5.06
72,Ashley Nurse,27,11,,,14.73
358,Khushdil Shah,27,17,,,9.53
507,Nuwan Kulasekara,26,22,1.0,26.0,7.09
71,Ashish Bagai,26,30,,,5.2
204,Faheem Ashraf,26,19,3.0,8.67,8.21
547,Ravichandran Ashwin,26,18,1.0,26.0,8.67
410,Mark Adair,26,9,,,17.33
541,Rameez Shahzad,25,38,,,3.95
391,Lo-handre Louwrens,25,20,1.0,25.0,7.5
530,Preston Mommsen,25,28,2.0,12.5,5.36
43,Amjad Ali,24,33,2.0,12.0,4.36
259,Hiri Hiri,24,31,1.0,24.0,4.65
384,Lega Siaka,24,27,,,5.33
327,Josh Hazlewood,24,20,2.0,12.0,7.2
62,Anwar Ali,24,24,1.0,24.0,6.0
726,Umar Akmal,24,17,2.0,12.0,8.47
278,Jacob Oram,23,11,1.0,23.0,12.55
417,Mashrafe Mortaza,23,20,2.0,11.5,6.9
383,Laxman Sreekumar,23,15,1.0,23.0,9.2
345,Kashif Daud,23,8,,,17.25
342,Karim Janat,22,13,1.0,22.0,10.15
10,Abid Ali,22,16,1.0,22.0,8.25
746,Washington Sundar,22,29,2.0,11.0,4.55
682,Takudzwanashe Kaitano,22,27,,,4.89
580,Ruvindu Gunasekera,22,16,,,8.25
455,Mohammad Mithun,21,17,,,7.41
254,Hazratullah Zazai,21,19,,,6.63
532,Prosper Utseya,21,17,,,7.41
556,Richmond Mutumbami,21,20,,,6.3
229,Graeme Swann,21,11,,,11.45
178,Dhammika Prasad,21,6,1.0,21.0,21.0
703,Tim Southee,21,21,3.0,7.0,6.0
7,Abdul Razzaq,21,9,,,14.0
757,Yasir Ali,21,14,2.0,10.5,9.0
13,Adam Zampa,21,25,3.0,7.0,5.04
723,Trevin Bastiampillai,21,11,,,11.45
153,Daniel Vettori,21,12,1.0,21.0,10.5
421,Matt Prior,20,17,,,7.06
275,Isuru Udana,20,15,1.0,20.0,8.0
531,Prithvi Shaw,20,27,1.0,20.0,4.44
618,Shafiqullah,20,7,1.0,20.0,17.14
104,Brandon McMullen,20,17,,,7.06
592,Sai Sudharsan,20,15,1.0,20.0,8.0
355,Khawar Ali,20,19,,,6.32
357,Khurram Khan,20,12,,,10.0
392,Lockie Ferguson,20,21,3.0,6.67,5.71
344,Karl Birkenstock,19,9,,,12.67
128,Chris Jordan,19,16,2.0,9.5,7.12
177,Devon Thomas,19,21,1.0,19.0,5.43
693,Thilan Samaraweera,19,9,,,12.67
108,Brydon Carse,18,13,,,8.31
134,Clint McKay,18,42,1.0,18.0,2.57
47,Andre Fletcher,18,23,3.0,6.0,4.7
399,Lungi Ngidi,18,27,,,4.0
24,Ajantha Mendis,18,14,,,7.71
144,Craig Overton,18,15,,,7.2
61,Anton Devcich,18,13,1.0,18.0,8.31
95,Bhim Sharki,18,18,,,6.0
654,Sohail Tanvir,17,9,,,11.33
569,Rohit Paudel,17,26,2.0,8.5,3.92
576,Ruben Trumpelmann,17,5,1.0,17.0,20.4
436,Michael Levitt,17,11,1.0,17.0,9.27
290,Jamie How,17,17,1.0,17.0,6.0
591,Safyaan Sharif,17,19,1.0,17.0,5.37
584,Ryan Rickelton,17,18,1.0,17.0,5.67
736,Vani Morea,17,19,,,5.37
485,Nasir Jamshed,17,8,,,12.75
140,Con de Lange,17,17,,,6.0
191,Dwaine Pretorius,16,23,2.0,8.0,4.17
89,Ben Cooper,16,9,1.0,16.0,10.67
539,Rajat Patidar,16,10,1.0,16.0,9.6
96,Bhuvneshwar Kumar,16,21,4.0,4.0,4.57
121,Chandrapaul Hemraj,16,8,1.0,16.0,12.0
291,Jan Nicol Loftie-Eaton,16,9,1.0,16.0,10.67
