,bat,runs,balls,dismissals,avg,rpo
1284,Tarisai Musakanda,101,110,4.0,25.25,5.51
668,Kennedy Otieno,100,116,2.0,50.0,5.17
1128,Sandeep Jyoti,100,108,2.0,50.0,5.56
11,Aayan Afzal Khan,99,102,5.0,19.8,5.82
745,Luke Jongwe,99,79,4.0,24.75,7.52
1112,Safyaan Sharif,99,110,8.0,12.38,5.4
621,Josh Davey,99,108,2.0,49.5,5.5
1299,Thilan Thushara,99,99,9.0,11.0,6.0
387,Faheem Ashraf,99,88,9.0,11.0,6.75
981,Peter Ingram,99,120,4.0,24.75,4.95
214,Carlton Baugh,99,106,4.0,24.75,5.6
118,Aryan Lakra,99,142,5.0,19.8,4.18
1327,Tom Curran,99,127,4.0,24.75,4.68
853,Mohammad Naveed,98,80,4.0,24.5,7.35
1359,Vani Morea,98,91,1.0,98.0,6.46
1336,Tony de Zorzi,97,85,2.0,48.5,6.85
939,Nizakat Khan,97,105,4.0,24.25,5.54
1160,Shaheen Shah Afridi,97,105,6.0,16.17,5.54
780,Mark Vermeulen,95,106,3.0,31.67,5.38
987,Phil Mustard,95,68,4.0,23.75,8.38
890,Muthiah Muralidaran,95,86,15.0,6.33,6.63
896,Narsingh Deonarine,95,112,5.0,19.0,5.09
1349,Umar Gul,95,108,14.0,6.79,5.28
1383,Wavell Hinds,94,121,8.0,11.75,4.66
699,Krunal Pandya,93,82,1.0,93.0,6.8
923,Neil McCallum,93,68,1.0,93.0,8.21
495,Hiral Patel,93,111,4.0,23.25,5.03
1228,Srimantha Wijeyeratne,93,124,3.0,31.0,4.5
458,Habibul Bashar,92,98,1.0,92.0,5.63
971,Paul Nixon,92,70,5.0,18.4,7.89
1400,Yasir Hameed,91,133,2.0,45.5,4.11
486,Hazratullah Zazai,91,69,4.0,22.75,7.91
1174,Shan Masood,90,101,4.0,22.5,5.35
828,Minod Bhanuka,90,107,4.0,22.5,5.05
526,Ish Sodhi,90,115,12.0,7.5,4.7
519,Innocent Kaia,90,92,1.0,90.0,5.87
172,Bhanuka Rajapaksa,89,79,3.0,29.67,6.76
256,Clive Madande,89,106,4.0,22.25,5.04
1023,Rajin Saleh,89,95,1.0,89.0,5.62
241,Chris Jordan,88,89,6.0,14.67,5.93
670,Keshav Maharaj,88,105,7.0,12.57,5.03
12,Abdool Samad,88,112,3.0,29.33,4.71
1381,Washington Sundar,88,68,3.0,29.33,7.76
905,Nathan Bracken,87,88,6.0,14.5,5.93
681,Khawar Ali,87,89,1.0,87.0,5.87
485,Hayden Walsh,87,87,3.0,29.0,6.0
978,Peter Forrest,87,106,6.0,14.5,4.92
1324,Tom Banton,87,96,2.0,43.5,5.44
240,Chris Greaves,87,58,3.0,29.0,9.0
1173,Shamsur Rahman,86,84,2.0,43.0,6.14
986,Phil Jaques,86,99,2.0,43.0,5.21
1086,Ruben Trumpelmann,86,52,6.0,14.33,9.92
953,Odean Smith,86,61,5.0,17.2,8.46
156,Barry McCarthy,85,113,9.0,9.44,4.51
755,Maheesh Theekshana,85,142,8.0,10.62,3.59
1072,Roelof van der Merwe,85,69,6.0,14.17,7.39
988,Phil Salt,85,62,2.0,42.5,8.23
67,Alick Athanaze,84,97,5.0,16.8,5.2
883,Mujeeb Ur Rahman,84,70,6.0,14.0,7.2
127,Ashif Mulla,84,94,5.0,16.8,5.36
532,JP Kotze,83,73,,,6.82
738,Lo-handre Louwrens,83,86,2.0,41.5,5.79
650,Karim Sadiq,82,95,4.0,20.5,5.18
1364,Venugopal Rao,82,121,4.0,20.5,4.07
820,Michael Vaughan,82,100,2.0,41.0,4.92
413,Gareth Hopkins,81,80,5.0,16.2,6.08
578,Javed Omar,81,121,2.0,40.5,4.02
109,Anton Devcich,81,84,3.0,27.0,5.79
95,Andri Berenger,80,88,,,5.45
878,Mudassar Bukhari,79,70,7.0,11.29,6.77
258,Colin Ackermann,78,78,2.0,39.0,6.0
608,John Davison,78,55,1.0,78.0,8.51
69,Alok Kapali,78,65,5.0,15.6,7.2
1333,Tomas Mackintosh,78,64,2.0,39.0,7.31
962,Paras Khadka,78,73,1.0,78.0,6.41
944,Norman Vanua,77,48,7.0,11.0,9.62
700,Kuldeep Yadav,76,111,10.0,7.6,4.11
1320,Tinotenda Mutombodzi,76,61,3.0,25.33,7.48
