,bat,innings,entry,arrive_fow,exit,exit_fow,added
1104,Neil Carter,1,0.0,0.0,0.0,1.0,0.0
1105,Neil Kruger,2,6.0,0.7792207792207793,69.0,2.5194805194805197,63.0
1106,Neil MacRae,1,0.0,0.0,6.0,1.0,6.0
1107,Neil McCallum,31,61.0,3.4973821989528795,156.0,5.350785340314136,95.0
1108,Neil McKenzie,4,105.0,3.255952380952381,186.0,5.488095238095238,81.0
1109,Neil Rock,2,168.0,4.08,187.0,5.08,19.0
1110,Nelon Pascal,1,194.0,10.0,194.0,10.0,0.0
1111,Nelson Odhiambo,6,108.0,6.26984126984127,147.0,8.53968253968254,39.0
1112,Nestor Dhamba,6,172.0,7.166666666666667,189.0,8.55,17.0
1113,Neville Madziva,11,141.0,7.18705035971223,168.0,8.683453237410072,27.0
1114,Niall O'Brien,92,55.0,1.9979283811778632,145.0,4.427049422906185,90.0
1115,Nicholas Kirton,9,53.0,2.4296724470134876,169.0,5.672447013487476,116.0
1116,Nicholas Pooran,58,90.0,2.6722032242305813,189.0,5.153395212506107,99.0
1117,Nick Greenwood,5,1.0,0.0,76.0,1.5886524822695036,75.0
1118,Nicky Boje,8,115.0,5.777777777777778,153.0,6.666666666666667,37.0
1119,Nigel Jones,9,141.0,5.239583333333333,189.0,7.177083333333333,48.0
1120,Nikhil Dutta,6,116.0,4.913875598086125,199.0,7.253588516746412,83.0
1121,Nikita Miller,27,134.0,7.215846994535519,173.0,8.866120218579235,39.0
1122,Nikolaas Davin,9,1.0,0.4782608695652174,89.0,1.9076086956521738,88.0
1123,Niroshan Dickwella,52,10.0,0.3361774744027304,125.0,2.5483503981797497,115.0
1124,Nisarg Patel,35,120.0,4.807795698924731,169.0,6.424731182795699,49.0
1125,Nitish Kumar,15,15.0,1.0384615384615385,64.0,2.792307692307692,49.0
1126,Nitish Rana,1,179.0,5.0,195.0,8.0,16.0
1127,Nizakat Khan,20,42.0,1.5223160434258143,137.0,3.5500603136308806,95.0
1128,Nizel Fernandes,1,134.0,5.0,142.0,8.0,8.0
1129,Nkrumah Bonner,6,54.0,2.3214285714285716,108.0,5.007142857142857,55.0
1130,Noah Croes,3,83.0,4.574712643678161,146.0,6.574712643678161,63.0
1131,Noor Ahmad,4,163.0,6.878048780487805,199.0,7.829268292682927,36.0
1132,Noor Ali Zadran,50,2.0,0.0025471217524197657,98.0,2.6780438104941418,96.0
1133,Noor-ul-Haq,2,37.0,3.9310344827586206,94.0,6.862068965517241,57.0
1134,Norman Vanua,53,116.0,5.943235572374645,160.0,7.848628192999054,44.0
1135,Nosaina Pokana,15,150.0,8.814814814814815,165.0,9.407407407407407,16.0
1136,Nosthush Kenjige,31,157.0,6.380855397148676,197.0,7.830957230142566,40.0
1137,Nurul Hasan,5,152.0,4.801104972375691,213.0,6.861878453038674,61.0
1138,Nuwan Kulasekara,116,155.0,6.122510561255281,204.0,7.840675920337961,48.0
1139,Nuwan Pradeep,20,217.0,8.894117647058824,225.0,9.48235294117647,8.0
1140,Nuwan Zoysa,3,168.0,7.333333333333333,183.0,8.047619047619047,15.0
1141,Nuwanidu Fernando,4,4.0,0.0,82.0,3.5794392523364484,79.0
1142,Obed McCoy,1,283.0,9.0,283.0,9.0,0.0
1143,Odean Smith,8,182.0,7.453125,222.0,9.2109375,40.0
1144,Oliver Davidson,1,121.0,7.0,156.0,9.0,35.0
1145,Oliver Pitcher,3,1.0,0.3493975903614458,39.0,4.710843373493976,38.0
1146,Ollie Hairs,5,2.0,0.0,31.0,1.7352941176470589,30.0
1147,Olly Stone,4,231.0,9.0,240.0,9.529411764705882,9.0
1148,Omari Banks,2,138.0,3.0,196.0,5.666666666666667,58.0
1149,Omer Hussain,5,54.0,2.239130434782609,82.0,3.5760869565217392,28.0
1150,Oronde Bascome,3,5.0,0.6438356164383562,51.0,2.287671232876712,47.0
1151,Oshada Fernando,8,21.0,1.6932773109243697,76.0,3.7142857142857144,55.0
1152,Oshane Thomas,14,215.0,8.430379746835444,225.0,8.936708860759493,9.0
1153,Owais Shah,51,77.0,2.7403598971722367,177.0,4.960411311053985,100.0
1154,Pankaj Singh,1,260.0,9.0,263.0,9.0,3.0
1155,Paras Khadka,10,24.0,1.1455026455026456,112.0,4.261904761904762,88.0
1156,Pargat Singh,11,41.0,0.9940119760479041,157.0,4.111776447105789,117.0
1157,Parth Desai,7,142.0,9.0,150.0,9.456140350877194,8.0
1158,Parthiv Patel,24,5.0,0.17356475300400534,91.0,2.4686248331108143,86.0
1159,Pat Cummins,56,188.0,6.670149253731343,235.0,7.7298507462686565,47.0
1160,Pathum Nissanka,55,3.0,0.05117952818872451,146.0,2.5637744902039183,143.0
1161,Patrick Browne,5,107.0,2.4371584699453552,194.0,5.508196721311475,88.0
1162,Paul Collingwood,123,84.0,2.994207695490277,184.0,5.27451386015722,100.0
1163,Paul Hitchcock,1,202.0,8.0,234.0,9.0,32.0
1164,Paul Hoffmann,6,155.0,7.9411764705882355,171.0,8.911764705882353,16.0
1165,Paul Mooney,2,229.0,8.875,243.0,8.875,14.0
1166,Paul Nixon,18,148.0,5.763532763532764,208.0,7.182336182336182,60.0
1167,Paul Stirling,153,5.0,0.16306156405990016,130.0,2.945545303282408,126.0
1168,Paul van Meekeren,18,192.0,8.492957746478874,208.0,9.105633802816902,16.0
1169,Pawan Sarraf,10,132.0,5.274336283185841,157.0,7.035398230088496,25.0
1170,Pedro Collins,5,251.0,8.25,253.0,9.0,2.0
1171,Peter Borren,39,101.0,4.212525667351129,177.0,6.094455852156058,77.0
1172,Peter Chase,15,189.0,9.05084745762712,198.0,9.627118644067796,9.0
1173,Peter Connell,3,139.0,8.03225806451613,164.0,9.741935483870968,24.0
1174,Peter Forrest,14,45.0,1.3778162911611784,158.0,3.748700173310225,113.0
1175,Peter Fulton,45,41.0,1.5815944355270197,142.0,4.091492776886035,101.0
1176,Peter Gillespie,2,125.0,5.181818181818182,130.0,6.909090909090909,4.0
1177,Peter Handscomb,20,86.0,2.245426829268293,207.0,4.509146341463414,121.0
1178,Peter Ingram,7,3.0,0.0,86.0,2.3375,83.0
1179,Peter McGlashan,2,166.0,4.169811320754717,255.0,5.339622641509434,89.0
1180,Peter Moor,43,67.0,2.572342126298961,134.0,4.57154276578737,67.0
1181,Peter Ongondo,28,148.0,7.881294964028777,171.0,8.974820143884893,23.0
1182,Peter Siddle,6,231.0,8.2,238.0,8.9,7.0
1183,Phil Jaques,6,5.0,0.022222222222222223,125.0,3.577777777777778,121.0
1184,Phil Mustard,10,2.0,0.0,80.0,2.053639846743295,77.0
1185,Phil Salt,17,4.0,0.1292372881355932,109.0,1.7245762711864407,105.0
1186,Philippe Boissevain,6,154.0,7.024390243902439,179.0,8.21951219512195,24.0
1187,Phillip Hughes,24,18.0,0.44364937388193204,149.0,2.9275491949910553,132.0
1188,Piet Rinke,11,19.0,1.3396226415094339,34.0,2.3679245283018866,15.0
1189,Pieter Seelaar,34,104.0,4.989690721649485,150.0,6.560137457044673,47.0
1190,Pikky Ya France,20,155.0,6.182108626198083,210.0,7.047923322683706,55.0
1191,Pipi Raho,1,71.0,4.0,75.0,5.0,4.0
1192,Piyush Chawla,12,187.0,7.083333333333333,203.0,8.216666666666667,16.0
1193,Prabath Jayasuriya,2,238.0,8.0,250.0,8.214285714285714,12.0
1194,Pragyan Ojha,9,132.0,8.18421052631579,152.0,9.078947368421053,20.0
1195,Pramod Madushan,6,126.0,7.761904761904762,170.0,8.94047619047619,44.0
1196,Prasanna Jayawardene,3,118.0,5.114285714285714,149.0,5.257142857142857,31.0
1197,Prasidh Krishna,6,248.0,8.833333333333334,250.0,9.222222222222221,2.0
1198,Pratik Athavale,2,0.0,0.0,18.0,2.0,18.0
1199,Pratis GC,1,208.0,8.0,223.0,8.0,15.0
1200,Praveen Jayawickrama,3,182.0,9.0,186.0,9.0,4.0
1201,Praveen Kumar,33,184.0,6.976331360946745,221.0,8.18639053254438,38.0
1202,Preston Mommsen,42,54.0,2.0183262064752596,175.0,4.419670128283445,122.0
1203,Prince Masvaure,2,64.0,1.7777777777777777,132.0,2.7777777777777777,68.0
1204,Prithvi Shaw,6,1.0,0.0,66.0,1.9022988505747127,65.0
1205,Priyamal Perera,2,124.0,4.0,219.0,8.918032786885245,95.0
1206,Prosper Utseya,110,119.0,6.160877513711152,172.0,7.941499085923217,53.0
1207,Pruthvikumar Machhi,1,1.0,0.0,58.0,1.0,57.0
1208,Qadeer Ahmed,6,147.0,9.0,152.0,9.4375,5.0
1209,Qais Ahmad,2,203.0,7.0,210.0,9.0,6.0
1210,Qaiser Ali,8,99.0,3.276595744680851,141.0,4.962765957446808,42.0
1211,Qasim Sheikh,6,40.0,1.4785714285714286,83.0,3.4,43.0
